Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2008 Q3	San Diego, CA	14%	521	-5%
2008 Q3	San Francisco, CA	11%	251	+10%
2008 Q3	San Jose, CA	8%	215	+29%
2008 Q3	Seattle, WA	7%	437	-41%
2008 Q3	Tampa, FL	12%	642	-34%
2008 Q3	Virginia Beach, VA	9%	369	-22%
2008 Q3	Warren, MI	7%	256	-52%
2008 Q3	Washington, DC	7%	597	-28%
2008 Q3	West Palm Beach, FL	11%	340	-25%
2008 Q2	National	10%	20,655	-40%
2008 Q2	Anaheim, CA	10%	387	-30%
2008 Q2	Atlanta, GA	12%	1,387	-55%
2008 Q2	Baltimore, MD	10%	726	-40%
2008 Q2	Charlotte, NC	14%	958	-37%
2008 Q2	Chicago, IL	9%	956	-42%
2008 Q2	Cincinnati, OH	11%	503	-35%
2008 Q2	Cleveland, OH	8%	323	-49%
2008 Q2	Columbus, OH	8%	336	-46%
2008 Q2	Denver, CO	8%	606	-35%
2008 Q2	Fort Lauderdale, FL	9%	361	-53%
2008 Q2	Jacksonville, FL	14%	392	-48%
2008 Q2	Las Vegas, NV	18%	521	-31%
2008 Q2	Los Angeles, CA	11%	913	-38%
2008 Q2	Miami, FL	23%	779	-37%
2008 Q2	Milwaukee, WI	8%	272	-41%
2008 Q2	Minneapolis, MN	8%	553	-43%
2008 Q2	Montgomery County, PA	5%	258	-33%
2008 Q2	Nashville, TN	9%	487	-32%
2008 Q2	New Brunswick, NJ	7%	391	-19%
2008 Q2	New York, NY	11%	1,051	-36%
2008 Q2	Newark, NJ	8%	284	-45%
2008 Q2	Oakland, CA	7%	261	-33%
2008 Q2	Orlando, FL	14%	495	-50%
2008 Q2	Philadelphia, PA	9%	434	-44%
2008 Q2	Phoenix, AZ	16%	1,454	-42%
2008 Q2	Portland, OR	7%	407	-37%
2008 Q2	Providence, RI	6%	167	-31%
2008 Q2	Riverside, CA	13%	593	-32%
2008 Q2	Sacramento, CA	9%	255	-42%
2008 Q2	San Diego, CA	14%	572	-14%
2008 Q2	San Francisco, CA	11%	267	-18%
2008 Q2	San Jose, CA	8%	221	-8%
2008 Q2	Seattle, WA	6%	425	-47%
2008 Q2	Tampa, FL	11%	668	-42%
2008 Q2	Virginia Beach, VA	8%	378	-26%
2008 Q2	Warren, MI	8%	267	-55%
2008 Q2	Washington, DC	6%	601	-36%
2008 Q2	West Palm Beach, FL	12%	482	-22%
2008 Q1	National	11%	18,494	-45%
2008 Q1	Anaheim, CA	12%	290	-29%
2008 Q1	Atlanta, GA	15%	1,383	-56%
2008 Q1	Baltimore, MD	12%	661	-45%
2008 Q1	Charlotte, NC	15%	816	-36%
2008 Q1	Chicago, IL	9%	781	-48%
2008 Q1	Cincinnati, OH	13%	435	-35%
2008 Q1	Cleveland, OH	10%	253	-53%
2008 Q1	Columbus, OH	11%	327	-36%
2008 Q1	Denver, CO	9%	479	-39%
2008 Q1	Fort Lauderdale, FL	11%	404	-48%
2008 Q1	Jacksonville, FL	15%	328	-54%
2008 Q1	Las Vegas, NV	11%	429	-48%
2008 Q1	Los Angeles, CA	11%	739	-44%
2008 Q1	Miami, FL	24%	872	-32%
2008 Q1	Milwaukee, WI	10%	237	-47%
2008 Q1	Minneapolis, MN	10%	447	-52%
2008 Q1	Montgomery County, PA	6%	206	-50%
2008 Q1	Nashville, TN	9%	395	-32%
2008 Q1	New Brunswick, NJ	9%	393	-48%
2008 Q1	New York, NY	12%	1,185	-36%
2008 Q1	Newark, NJ	9%	272	-48%
2008 Q1	Oakland, CA	8%	184	-38%
2008 Q1	Orlando, FL	14%	489	-58%
2008 Q1	Philadelphia, PA	12%	485	-28%
2008 Q1	Phoenix, AZ	17%	1,270	-53%
2008 Q1	Portland, OR	8%	376	-33%
2008 Q1	Providence, RI	7%	132	-41%
2008 Q1	Riverside, CA	14%	485	-48%
2008 Q1	Sacramento, CA	11%	217	-45%
2008 Q1	San Diego, CA	14%	340	-36%
2008 Q1	San Francisco, CA	12%	206	+0%
2008 Q1	San Jose, CA	8%	144	-11%
2008 Q1	Seattle, WA	8%	434	-29%
2008 Q1	Tampa, FL	13%	621	-52%
2008 Q1	Virginia Beach, VA	9%	344	-35%
2008 Q1	Warren, MI	10%	278	-53%
2008 Q1	Washington, DC	8%	510	-49%
2008 Q1	West Palm Beach, FL	12%	323	-40%
2007 Q4	National	11%	23,596	-35%
2007 Q4	Anaheim, CA	13%	376	+33%
2007 Q4	Atlanta, GA	14%	1,830	-49%
2007 Q4	Baltimore, MD	11%	850	-35%
2007 Q4	Charlotte, NC	16%	1,133	-23%
2007 Q4	Chicago, IL	9%	1,173	-33%
2007 Q4	Cincinnati, OH	13%	551	-30%
2007 Q4	Cleveland, OH	12%	470	-26%
2007 Q4	Columbus, OH	11%	472	-32%
2007 Q4	Denver, CO	9%	681	-18%
2007 Q4	Fort Lauderdale, FL	12%	487	-46%
2007 Q4	Jacksonville, FL	15%	444	-41%
2007 Q4	Las Vegas, NV	8%	441	-50%
2007 Q4	Los Angeles, CA	10%	947	-32%
2007 Q4	Miami, FL	20%	942	-38%
2007 Q4	Milwaukee, WI	10%	339	-30%
2007 Q4	Minneapolis, MN	9%	702	-37%
2007 Q4	Montgomery County, PA	6%	296	-15%
2007 Q4	Nashville, TN	9%	481	-29%
2007 Q4	New Brunswick, NJ	7%	470	-20%
2007 Q4	New York, NY	10%	1,241	-30%
2007 Q4	Newark, NJ	8%	364	-43%
2007 Q4	Oakland, CA	8%	256	-20%
2007 Q4	Orlando, FL	16%	682	-43%
2007 Q4	Philadelphia, PA	10%	544	-20%
2007 Q4	Phoenix, AZ	18%	1,664	-46%
2007 Q4	Portland, OR	8%	501	-7%
2007 Q4	Providence, RI	5%	174	-45%
2007 Q4	Riverside, CA	12%	505	-51%
2007 Q4	Sacramento, CA	11%	319	-29%
2007 Q4	San Diego, CA	13%	449	-17%
2007 Q4	San Francisco, CA	10%	222	+12%
2007 Q4	San Jose, CA	7%	153	-14%
2007 Q4	Seattle, WA	7%	478	-28%
2007 Q4	Tampa, FL	13%	751	-45%
2007 Q4	Virginia Beach, VA	9%	395	-32%
2007 Q4	Warren, MI	9%	369	-42%
2007 Q4	Washington, DC	7%	649	-30%
2007 Q4	West Palm Beach, FL	12%	400	-23%
2007 Q3	National	9%	30,207	-29%
2007 Q3	Anaheim, CA	11%	494	-10%
2007 Q3	Atlanta, GA	13%	2,629	-39%
2007 Q3	Baltimore, MD	11%	1,036	-26%
2007 Q3	Charlotte, NC	15%	1,503	-4%
2007 Q3	Chicago, IL	8%	1,671	-25%
2007 Q3	Cincinnati, OH	11%	688	-31%
2007 Q3	Cleveland, OH	9%	531	-33%
2007 Q3	Columbus, OH	9%	586	-21%
2007 Q3	Denver, CO	8%	881	-9%
2007 Q3	Fort Lauderdale, FL	10%	634	-41%
2007 Q3	Jacksonville, FL	15%	649	-30%
2007 Q3	Las Vegas, NV	8%	584	-41%
2007 Q3	Los Angeles, CA	9%	1,221	-24%
2007 Q3	Miami, FL	17%	1,142	-32%
2007 Q3	Milwaukee, WI	9%	436	-24%
2007 Q3	Minneapolis, MN	9%	905	-33%
2007 Q3	Montgomery County, PA	5%	427	-4%
2007 Q3	Nashville, TN	7%	545	-32%
2007 Q3	New Brunswick, NJ	6%	500	-24%
2007 Q3	New York, NY	9%	1,553	-31%
2007 Q3	Newark, NJ	6%	426	-39%
2007 Q3	Oakland, CA	7%	330	-20%
2007 Q3	Orlando, FL	14%	838	-38%
2007 Q3	Philadelphia, PA	10%	723	-13%
2007 Q3	Phoenix, AZ	15%	1,884	-45%
2007 Q3	Portland, OR	6%	531	-25%
2007 Q3	Providence, RI	5%	202	-41%
2007 Q3	Riverside, CA	10%	656	-45%
2007 Q3	Sacramento, CA	9%	363	-32%
2007 Q3	San Diego, CA	11%	548	-8%
2007 Q3	San Francisco, CA	8%	229	-5%
2007 Q3	San Jose, CA	5%	167	-17%
2007 Q3	Seattle, WA	7%	735	-16%
2007 Q3	Tampa, FL	12%	976	-41%
2007 Q3	Virginia Beach, VA	9%	474	-30%
2007 Q3	Warren, MI	9%	534	-29%
2007 Q3	Washington, DC	6%	832	-20%
2007 Q3	West Palm Beach, FL	11%	453	-25%
2007 Q2	National	10%	34,443	-30%
2007 Q2	Anaheim, CA	9%	550	-13%
2007 Q2	Atlanta, GA	14%	3,116	-29%
2007 Q2	Baltimore, MD	10%	1,210	-33%
2007 Q2	Charlotte, NC	13%	1,522	-6%
2007 Q2	Chicago, IL	8%	1,640	-33%
2007 Q2	Cincinnati, OH	12%	772	-31%
2007 Q2	Cleveland, OH	10%	637	-23%
2007 Q2	Columbus, OH	10%	626	-26%
2007 Q2	Denver, CO	8%	927	-20%
2007 Q2	Fort Lauderdale, FL	11%	775	-44%
2007 Q2	Jacksonville, FL	15%	748	-46%
2007 Q2	Las Vegas, NV	9%	752	-42%
2007 Q2	Los Angeles, CA	8%	1,483	-19%
2007 Q2	Miami, FL	14%	1,229	-38%
2007 Q2	Milwaukee, WI	10%	460	-26%
2007 Q2	Minneapolis, MN	9%	962	-36%
2007 Q2	Montgomery County, PA	6%	384	-23%
2007 Q2	Nashville, TN	8%	714	-5%
2007 Q2	New Brunswick, NJ	6%	484	-32%
2007 Q2	New York, NY	10%	1,639	-20%
2007 Q2	Newark, NJ	8%	515	-34%
2007 Q2	Oakland, CA	6%	389	-26%
2007 Q2	Orlando, FL	13%	986	-38%
2007 Q2	Philadelphia, PA	11%	780	-24%
2007 Q2	Phoenix, AZ	14%	2,511	-40%
2007 Q2	Portland, OR	6%	647	-20%
2007 Q2	Providence, RI	5%	241	-32%
2007 Q2	Riverside, CA	9%	867	-43%
2007 Q2	Sacramento, CA	8%	440	-25%
2007 Q2	San Diego, CA	9%	665	-13%
2007 Q2	San Francisco, CA	9%	324	-1%
2007 Q2	San Jose, CA	5%	241	-10%
2007 Q2	Seattle, WA	6%	801	-18%
2007 Q2	Tampa, FL	12%	1,150	-48%
2007 Q2	Virginia Beach, VA	8%	509	-31%
2007 Q2	Warren, MI	11%	592	-23%
2007 Q2	Washington, DC	6%	938	-26%
2007 Q2	West Palm Beach, FL	11%	619	-29%
2007 Q1	National	11%	33,679	-24%
2007 Q1	Anaheim, CA	7%	409	-24%
2007 Q1	Atlanta, GA	15%	3,124	-20%
2007 Q1	Baltimore, MD	11%	1,199	-25%
2007 Q1	Charlotte, NC	15%	1,281	+0%
2007 Q1	Chicago, IL	9%	1,508	-25%
2007 Q1	Cincinnati, OH	13%	665	-26%
2007 Q1	Cleveland, OH	12%	533	-27%
2007 Q1	Columbus, OH	12%	508	-22%
2007 Q1	Denver, CO	10%	786	-18%
2007 Q1	Fort Lauderdale, FL	11%	781	-39%
2007 Q1	Jacksonville, FL	15%	717	-34%
2007 Q1	Las Vegas, NV	10%	822	-28%
2007 Q1	Los Angeles, CA	7%	1,322	-10%
2007 Q1	Miami, FL	14%	1,281	-34%
2007 Q1	Milwaukee, WI	11%	444	-28%
2007 Q1	Minneapolis, MN	11%	933	-30%
2007 Q1	Montgomery County, PA	8%	410	-4%
2007 Q1	Nashville, TN	9%	577	-14%
2007 Q1	New Brunswick, NJ	11%	750	+7%
2007 Q1	New York, NY	11%	1,857	-19%
2007 Q1	Newark, NJ	9%	528	-27%
2007 Q1	Oakland, CA	5%	298	-12%
2007 Q1	Orlando, FL	15%	1,177	-28%
2007 Q1	Philadelphia, PA	11%	669	-8%
2007 Q1	Phoenix, AZ	15%	2,684	-34%
2007 Q1	Portland, OR	7%	560	-21%
2007 Q1	Providence, RI	6%	225	-25%
2007 Q1	Riverside, CA	9%	938	-36%
2007 Q1	Sacramento, CA	7%	393	-19%
2007 Q1	San Diego, CA	9%	533	-14%
2007 Q1	San Francisco, CA	8%	207	-18%
2007 Q1	San Jose, CA	4%	162	-19%
2007 Q1	Seattle, WA	6%	607	-9%
2007 Q1	Tampa, FL	14%	1,298	-45%
2007 Q1	Virginia Beach, VA	10%	527	-21%
2007 Q1	Warren, MI	12%	594	-31%
2007 Q1	Washington, DC	6%	996	-9%
2007 Q1	West Palm Beach, FL	11%	535	-34%
2006 Q4	National	10%	36,395	-30%
2006 Q4	Anaheim, CA	5%	283	-47%
2006 Q4	Atlanta, GA	14%	3,608	-14%
2006 Q4	Baltimore, MD	11%	1,314	-25%
2006 Q4	Charlotte, NC	15%	1,481	+7%
2006 Q4	Chicago, IL	8%	1,741	-45%
2006 Q4	Cincinnati, OH	12%	785	-28%
2006 Q4	Cleveland, OH	11%	636	-21%
2006 Q4	Columbus, OH	12%	690	-12%
2006 Q4	Denver, CO	9%	830	-49%
2006 Q4	Fort Lauderdale, FL	11%	907	-43%
2006 Q4	Jacksonville, FL	15%	756	-36%
2006 Q4	Las Vegas, NV	9%	888	-35%
2006 Q4	Los Angeles, CA	6%	1,394	-19%
2006 Q4	Miami, FL	14%	1,510	-24%
2006 Q4	Milwaukee, WI	10%	486	-23%
2006 Q4	Minneapolis, MN	10%	1,110	-36%
2006 Q4	Montgomery County, PA	6%	350	-36%
2006 Q4	Nashville, TN	9%	675	-5%
2006 Q4	New Brunswick, NJ	7%	591	-31%
2006 Q4	New York, NY	10%	1,781	-18%
2006 Q4	Newark, NJ	9%	635	-22%
2006 Q4	Oakland, CA	5%	322	-25%
2006 Q4	Orlando, FL	14%	1,190	-39%
2006 Q4	Philadelphia, PA	10%	678	-15%
2006 Q4	Phoenix, AZ	16%	3,095	-38%
2006 Q4	Portland, OR	6%	539	-35%
2006 Q4	Providence, RI	6%	316	-18%
2006 Q4	Riverside, CA	7%	1,023	-33%
2006 Q4	Sacramento, CA	7%	448	-33%
2006 Q4	San Diego, CA	8%	538	-24%
2006 Q4	San Francisco, CA	6%	199	-25%
2006 Q4	San Jose, CA	4%	178	-21%
2006 Q4	Seattle, WA	6%	665	-21%
2006 Q4	Tampa, FL	13%	1,357	-53%
2006 Q4	Virginia Beach, VA	9%	578	-17%
2006 Q4	Warren, MI	10%	634	-34%
2006 Q4	Washington, DC	5%	929	-30%
2006 Q4	West Palm Beach, FL	10%	518	-41%
2006 Q3	National	9%	42,782	-30%
2006 Q3	Anaheim, CA	7%	547	-20%
2006 Q3	Atlanta, GA	14%	4,284	-6%
2006 Q3	Baltimore, MD	11%	1,400	-14%
2006 Q3	Charlotte, NC	13%	1,560	-49%
2006 Q3	Chicago, IL	7%	2,216	-24%
2006 Q3	Cincinnati, OH	11%	995	-19%
2006 Q3	Cleveland, OH	10%	793	-25%
2006 Q3	Columbus, OH	10%	739	-20%
2006 Q3	Denver, CO	8%	967	-21%
2006 Q3	Fort Lauderdale, FL	11%	1,076	-50%
2006 Q3	Jacksonville, FL	14%	931	-37%
2006 Q3	Las Vegas, NV	10%	987	-40%
2006 Q3	Los Angeles, CA	6%	1,605	-26%
2006 Q3	Miami, FL	14%	1,670	-21%
2006 Q3	Milwaukee, WI	9%	576	-20%
2006 Q3	Minneapolis, MN	9%	1,341	-24%
2006 Q3	Montgomery County, PA	5%	447	-25%
2006 Q3	Nashville, TN	8%	796	-2%
2006 Q3	New Brunswick, NJ	7%	660	-27%
2006 Q3	New York, NY	10%	2,253	-9%
2006 Q3	Newark, NJ	8%	695	-27%
2006 Q3	Oakland, CA	5%	414	-29%
2006 Q3	Orlando, FL	12%	1,354	-38%
2006 Q3	Philadelphia, PA	10%	832	+3%
2006 Q3	Phoenix, AZ	16%	3,456	-46%
2006 Q3	Portland, OR	6%	705	-27%
2006 Q3	Providence, RI	6%	342	-24%
2006 Q3	Riverside, CA	7%	1,192	-38%
2006 Q3	Sacramento, CA	7%	536	-40%
2006 Q3	San Diego, CA	8%	596	-33%
2006 Q3	San Francisco, CA	6%	242	-23%
2006 Q3	San Jose, CA	4%	202	-33%
2006 Q3	Seattle, WA	6%	874	-13%
2006 Q3	Tampa, FL	13%	1,641	-49%
2006 Q3	Virginia Beach, VA	8%	675	-32%
2006 Q3	Warren, MI	9%	752	-32%
2006 Q3	Washington, DC	5%	1,041	-28%
2006 Q3	West Palm Beach, FL	10%	606	-50%
2006 Q2	National	10%	49,342	-16%
2006 Q2	Anaheim, CA	7%	631	-21%
2006 Q2	Atlanta, GA	14%	4,382	+5%
2006 Q2	Baltimore, MD	11%	1,808	+3%
2006 Q2	Charlotte, NC	14%	1,626	+28%
2006 Q2	Chicago, IL	8%	2,461	-12%
2006 Q2	Cincinnati, OH	13%	1,112	+0%
2006 Q2	Cleveland, OH	10%	825	-18%
2006 Q2	Columbus, OH	11%	844	+0%
2006 Q2	Denver, CO	9%	1,154	-9%
2006 Q2	Fort Lauderdale, FL	11%	1,372	-28%
2006 Q2	Jacksonville, FL	17%	1,377	+5%
2006 Q2	Las Vegas, NV	11%	1,288	-20%
2006 Q2	Los Angeles, CA	7%	1,825	-21%
2006 Q2	Miami, FL	14%	1,996	-14%
2006 Q2	Milwaukee, WI	10%	619	+7%
2006 Q2	Minneapolis, MN	10%	1,511	-11%
2006 Q2	Montgomery County, PA	6%	496	+2%
2006 Q2	Nashville, TN	8%	753	+1%
2006 Q2	New Brunswick, NJ	8%	709	-15%
2006 Q2	New York, NY	11%	2,051	-23%
2006 Q2	Newark, NJ	10%	783	-2%
2006 Q2	Oakland, CA	6%	524	-5%
2006 Q2	Orlando, FL	12%	1,580	-23%
2006 Q2	Philadelphia, PA	12%	1,028	+16%
2006 Q2	Phoenix, AZ	15%	4,208	-36%
2006 Q2	Portland, OR	6%	810	-18%
2006 Q2	Providence, RI	6%	352	-20%
2006 Q2	Riverside, CA	8%	1,527	-28%
2006 Q2	Sacramento, CA	7%	589	-35%
2006 Q2	San Diego, CA	8%	768	-21%
2006 Q2	San Francisco, CA	8%	327	-2%
2006 Q2	San Jose, CA	5%	268	-9%
2006 Q2	Seattle, WA	6%	975	-5%
2006 Q2	Tampa, FL	13%	2,201	-37%
2006 Q2	Virginia Beach, VA	9%	736	-18%
2006 Q2	Warren, MI	10%	771	-28%
2006 Q2	Washington, DC	5%	1,261	-27%
2006 Q2	West Palm Beach, FL	11%	870	-38%
2006 Q1	National	11%	44,427	-8%
2006 Q1	Anaheim, CA	7%	535	-12%
2006 Q1	Atlanta, GA	16%	3,917	+8%
2006 Q1	Baltimore, MD	12%	1,601	+10%
2006 Q1	Charlotte, NC	16%	1,275	+26%
2006 Q1	Chicago, IL	9%	2,011	-10%
2006 Q1	Cincinnati, OH	14%	898	-5%
2006 Q1	Cleveland, OH	14%	730	-3%
2006 Q1	Columbus, OH	12%	650	-13%
2006 Q1	Denver, CO	10%	964	-3%
2006 Q1	Fort Lauderdale, FL	11%	1,274	-19%
2006 Q1	Jacksonville, FL	16%	1,090	+6%
2006 Q1	Las Vegas, NV	11%	1,147	-14%
2006 Q1	Los Angeles, CA	7%	1,470	-18%
2006 Q1	Miami, FL	15%	1,954	-1%
2006 Q1	Milwaukee, WI	13%	615	-6%
2006 Q1	Minneapolis, MN	12%	1,325	+1%
2006 Q1	Montgomery County, PA	7%	429	+1%
2006 Q1	Nashville, TN	10%	670	+19%
2006 Q1	New Brunswick, NJ	9%	700	+4%
2006 Q1	New York, NY	12%	2,302	-13%
2006 Q1	Newark, NJ	10%	722	+0%
2006 Q1	Oakland, CA	5%	338	-24%
2006 Q1	Orlando, FL	13%	1,627	-4%
2006 Q1	Philadelphia, PA	11%	724	+11%
2006 Q1	Phoenix, AZ	16%	4,073	-20%
2006 Q1	Portland, OR	7%	710	-2%
2006 Q1	Providence, RI	7%	300	-4%
2006 Q1	Riverside, CA	8%	1,457	-16%
2006 Q1	Sacramento, CA	7%	487	-26%
2006 Q1	San Diego, CA	8%	619	-11%
2006 Q1	San Francisco, CA	8%	253	+5%
2006 Q1	San Jose, CA	4%	199	-11%
2006 Q1	Seattle, WA	6%	664	-13%
2006 Q1	Tampa, FL	15%	2,362	-7%
2006 Q1	Virginia Beach, VA	10%	668	-20%
2006 Q1	Warren, MI	13%	856	-20%
2006 Q1	Washington, DC	5%	1,099	-21%
2006 Q1	West Palm Beach, FL	12%	810	-22%
2005 Q4	National	10%	52,100	+7%
2005 Q4	Anaheim, CA	6%	538	-10%
2005 Q4	Atlanta, GA	14%	4,175	+12%
2005 Q4	Baltimore, MD	11%	1,743	+30%
2005 Q4	Charlotte, NC	15%	1,389	+33%
2005 Q4	Chicago, IL	8%	3,157	+29%
2005 Q4	Cincinnati, OH	13%	1,083	+8%
2005 Q4	Cleveland, OH	11%	800	-9%
2005 Q4	Columbus, OH	11%	783	-15%
2005 Q4	Denver, CO	13%	1,612	+50%
2005 Q4	Fort Lauderdale, FL	11%	1,600	+17%
2005 Q4	Jacksonville, FL	15%	1,189	+21%
2005 Q4	Las Vegas, NV	11%	1,361	+2%
2005 Q4	Los Angeles, CA	6%	1,711	-3%
2005 Q4	Miami, FL	15%	1,979	-5%
2005 Q4	Milwaukee, WI	11%	633	+11%
2005 Q4	Minneapolis, MN	11%	1,735	+14%
2005 Q4	Montgomery County, PA	7%	550	+5%
2005 Q4	Nashville, TN	8%	709	+11%
2005 Q4	New Brunswick, NJ	7%	851	+13%
2005 Q4	New York, NY	10%	2,170	-5%
2005 Q4	Newark, NJ	10%	816	+1%
2005 Q4	Oakland, CA	4%	432	-23%
2005 Q4	Orlando, FL	12%	1,944	+37%
2005 Q4	Philadelphia, PA	10%	795	+17%
2005 Q4	Phoenix, AZ	16%	4,998	+6%
2005 Q4	Portland, OR	7%	834	+13%
2005 Q4	Providence, RI	6%	384	-1%
2005 Q4	Riverside, CA	7%	1,535	-4%
2005 Q4	Sacramento, CA	7%	672	-13%
2005 Q4	San Diego, CA	8%	706	-15%
2005 Q4	San Francisco, CA	7%	266	-10%
2005 Q4	San Jose, CA	4%	224	-4%
2005 Q4	Seattle, WA	6%	837	+3%
2005 Q4	Tampa, FL	14%	2,917	+12%
2005 Q4	Virginia Beach, VA	9%	695	-19%
2005 Q4	Warren, MI	10%	957	-10%
2005 Q4	Washington, DC	5%	1,325	-6%
2005 Q4	West Palm Beach, FL	10%	884	-13%
2005 Q3	National	10%	60,734	+14%
2005 Q3	Anaheim, CA	6%	688	+13%
2005 Q3	Atlanta, GA	13%	4,534	+17%
2005 Q3	Baltimore, MD	10%	1,635	+39%
2005 Q3	Charlotte, NC	24%	3,058	+175%
2005 Q3	Chicago, IL	7%	2,921	+10%
2005 Q3	Cincinnati, OH	12%	1,228	+6%
2005 Q3	Cleveland, OH	11%	1,057	+13%
2005 Q3	Columbus, OH	10%	926	-2%
2005 Q3	Denver, CO	8%	1,229	-2%
2005 Q3	Fort Lauderdale, FL	12%	2,140	+38%
2005 Q3	Jacksonville, FL	15%	1,474	+28%
2005 Q3	Las Vegas, NV	10%	1,654	+5%
2005 Q3	Los Angeles, CA	6%	2,175	+10%
2005 Q3	Miami, FL	14%	2,106	+10%
2005 Q3	Milwaukee, WI	10%	721	+3%
2005 Q3	Minneapolis, MN	9%	1,773	-8%
2005 Q3	Montgomery County, PA	6%	597	+6%
2005 Q3	Nashville, TN	8%	816	+19%
2005 Q3	New Brunswick, NJ	7%	902	-5%
2005 Q3	New York, NY	10%	2,478	-18%
2005 Q3	Newark, NJ	9%	955	+3%
2005 Q3	Oakland, CA	5%	582	-5%
2005 Q3	Orlando, FL	12%	2,199	+26%
2005 Q3	Philadelphia, PA	8%	806	+20%
2005 Q3	Phoenix, AZ	16%	6,393	+49%
2005 Q3	Portland, OR	6%	970	+11%
2005 Q3	Providence, RI	6%	452	+16%
2005 Q3	Riverside, CA	7%	1,920	-1%
2005 Q3	Sacramento, CA	7%	888	-8%
2005 Q3	San Diego, CA	7%	891	+1%
2005 Q3	San Francisco, CA	7%	315	+15%
2005 Q3	San Jose, CA	4%	303	-4%
2005 Q3	Seattle, WA	6%	999	+18%
2005 Q3	Tampa, FL	13%	3,205	+22%
2005 Q3	Virginia Beach, VA	10%	994	+14%
2005 Q3	Warren, MI	9%	1,105	-25%
2005 Q3	Washington, DC	5%	1,454	-13%
2005 Q3	West Palm Beach, FL	10%	1,219	+14%
2005 Q2	National	10%	58,947	+13%
2005 Q2	Anaheim, CA	6%	794	+1%
2005 Q2	Atlanta, GA	14%	4,187	+20%
2005 Q2	Baltimore, MD	10%	1,757	+24%
2005 Q2	Charlotte, NC	12%	1,274	+18%
2005 Q2	Chicago, IL	8%	2,803	+33%
2005 Q2	Cincinnati, OH	11%	1,110	+4%
2005 Q2	Cleveland, OH	11%	1,005	+11%
2005 Q2	Columbus, OH	10%	848	+2%
2005 Q2	Denver, CO	8%	1,267	+15%
2005 Q2	Fort Lauderdale, FL	10%	1,913	+20%
2005 Q2	Jacksonville, FL	14%	1,315	+14%
2005 Q2	Las Vegas, NV	10%	1,601	-13%
2005 Q2	Los Angeles, CA	7%	2,306	+7%
2005 Q2	Miami, FL	14%	2,322	+4%
2005 Q2	Milwaukee, WI	10%	579	-3%
2005 Q2	Minneapolis, MN	10%	1,706	-8%
2005 Q2	Montgomery County, PA	6%	484	+6%
2005 Q2	Nashville, TN	8%	748	+27%
2005 Q2	New Brunswick, NJ	8%	832	-4%
2005 Q2	New York, NY	11%	2,662	+11%
2005 Q2	Newark, NJ	9%	798	+3%
2005 Q2	Oakland, CA	4%	550	-14%
2005 Q2	Orlando, FL	12%	2,063	+26%
2005 Q2	Philadelphia, PA	10%	890	+34%
2005 Q2	Phoenix, AZ	15%	6,609	+56%
2005 Q2	Portland, OR	7%	983	+28%
2005 Q2	Providence, RI	6%	442	+27%
2005 Q2	Riverside, CA	8%	2,114	-5%
2005 Q2	Sacramento, CA	7%	908	-2%
2005 Q2	San Diego, CA	7%	978	-11%
2005 Q2	San Francisco, CA	7%	334	+5%
2005 Q2	San Jose, CA	4%	296	-18%
2005 Q2	Seattle, WA	6%	1,027	+14%
2005 Q2	Tampa, FL	14%	3,505	+23%
2005 Q2	Virginia Beach, VA	9%	902	-5%
2005 Q2	Warren, MI	11%	1,075	-1%
2005 Q2	Washington, DC	5%	1,731	+11%
2005 Q2	West Palm Beach, FL	10%	1,408	+6%
2005 Q1	National	10%	48,206	+16%
2005 Q1	Anaheim, CA	6%	609	+0%
2005 Q1	Atlanta, GA	16%	3,632	+20%
2005 Q1	Baltimore, MD	12%	1,454	+44%
2005 Q1	Charlotte, NC	14%	1,010	+20%
2005 Q1	Chicago, IL	9%	2,240	+22%
2005 Q1	Cincinnati, OH	15%	947	+6%
2005 Q1	Cleveland, OH	14%	756	+0%
2005 Q1	Columbus, OH	13%	750	+4%
2005 Q1	Denver, CO	10%	998	+29%
2005 Q1	Fort Lauderdale, FL	10%	1,567	+27%
2005 Q1	Jacksonville, FL	14%	1,031	+11%
2005 Q1	Las Vegas, NV	11%	1,331	-4%
2005 Q1	Los Angeles, CA	7%	1,800	+2%
2005 Q1	Miami, FL	14%	1,966	+22%
2005 Q1	Milwaukee, WI	12%	652	+32%
2005 Q1	Minneapolis, MN	11%	1,316	-23%
2005 Q1	Montgomery County, PA	7%	425	+3%
2005 Q1	Nashville, TN	9%	565	+13%
2005 Q1	New Brunswick, NJ	7%	673	-12%
2005 Q1	New York, NY	11%	2,633	+17%
2005 Q1	Newark, NJ	11%	725	+0%
2005 Q1	Oakland, CA	5%	446	+5%
2005 Q1	Orlando, FL	12%	1,693	+25%
2005 Q1	Philadelphia, PA	10%	650	+10%
2005 Q1	Phoenix, AZ	15%	5,113	+63%
2005 Q1	Portland, OR	7%	725	+39%
2005 Q1	Providence, RI	6%	312	+18%
2005 Q1	Riverside, CA	9%	1,734	-4%
2005 Q1	Sacramento, CA	6%	661	+1%
2005 Q1	San Diego, CA	7%	698	-13%
2005 Q1	San Francisco, CA	7%	242	+11%
2005 Q1	San Jose, CA	4%	223	+0%
2005 Q1	Seattle, WA	7%	764	+18%
2005 Q1	Tampa, FL	13%	2,536	+15%
