Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2023 Q1	West Palm Beach, FL	19%	1,211	-28%
2022 Q4	National	19%	53,864	-44%
2022 Q4	Anaheim, CA	22%	962	-42%
2022 Q4	Atlanta, GA	26%	4,776	-62%
2022 Q4	Baltimore, MD	21%	1,800	-4%
2022 Q4	Charlotte, NC	23%	1,762	-61%
2022 Q4	Chicago, IL	13%	2,011	-28%
2022 Q4	Cincinnati, OH	21%	1,228	-15%
2022 Q4	Cleveland, OH	22%	1,271	-11%
2022 Q4	Columbus, OH	20%	1,170	-41%
2022 Q4	Denver, CO	16%	1,268	-52%
2022 Q4	Fort Lauderdale, FL	23%	1,672	-35%
2022 Q4	Jacksonville, FL	28%	1,423	-57%
2022 Q4	Las Vegas, NV	23%	1,397	-65%
2022 Q4	Los Angeles, CA	20%	2,330	-42%
2022 Q4	Miami, FL	36%	2,639	-27%
2022 Q4	Milwaukee, WI	18%	736	-11%
2022 Q4	Minneapolis, MN	11%	1,188	-39%
2022 Q4	Montgomery County, PA	11%	554	-12%
2022 Q4	Nashville, TN	20%	1,174	-49%
2022 Q4	New Brunswick, NJ	13%	1,097	-8%
2022 Q4	New York, NY	19%	2,524	-4%
2022 Q4	Newark, NJ	13%	807	-8%
2022 Q4	Oakland, CA	14%	700	-34%
2022 Q4	Orlando, FL	26%	2,275	-45%
2022 Q4	Philadelphia, PA	20%	1,059	-20%
2022 Q4	Phoenix, AZ	22%	2,967	-65%
2022 Q4	Portland, OR	13%	574	-47%
2022 Q4	Providence, RI	10%	296	-15%
2022 Q4	Riverside, CA	18%	1,309	-54%
2022 Q4	Sacramento, CA	17%	853	-52%
2022 Q4	San Diego, CA	21%	1,133	-46%
2022 Q4	San Francisco, CA	21%	454	-36%
2022 Q4	San Jose, CA	15%	363	-37%
2022 Q4	Seattle, WA	10%	506	-42%
2022 Q4	Tampa, FL	22%	2,629	-50%
2022 Q4	Virginia Beach, VA	12%	739	-29%
2022 Q4	Warren, MI	9%	714	-25%
2022 Q4	Washington, DC	11%	1,216	-25%
2022 Q4	West Palm Beach, FL	20%	1,433	-10%
2022 Q3	National	18%	72,595	-28%
2022 Q3	Anaheim, CA	22%	1,339	-27%
2022 Q3	Atlanta, GA	29%	7,597	-41%
2022 Q3	Baltimore, MD	16%	1,741	+8%
2022 Q3	Charlotte, NC	26%	2,847	-40%
2022 Q3	Chicago, IL	12%	2,803	-13%
2022 Q3	Cincinnati, OH	19%	1,426	-18%
2022 Q3	Cleveland, OH	19%	1,645	+7%
2022 Q3	Columbus, OH	18%	1,498	-23%
2022 Q3	Denver, CO	16%	1,905	-36%
2022 Q3	Fort Lauderdale, FL	22%	2,000	-25%
2022 Q3	Jacksonville, FL	30%	2,141	-32%
2022 Q3	Las Vegas, NV	28%	2,349	-42%
2022 Q3	Los Angeles, CA	20%	3,110	-25%
2022 Q3	Miami, FL	33%	2,817	-34%
2022 Q3	Milwaukee, WI	13%	741	-20%
2022 Q3	Minneapolis, MN	11%	1,611	-22%
2022 Q3	Montgomery County, PA	8%	586	-13%
2022 Q3	Nashville, TN	22%	1,842	-22%
2022 Q3	New Brunswick, NJ	10%	1,101	+1%
2022 Q3	New York, NY	16%	3,069	+14%
2022 Q3	Newark, NJ	11%	909	+1%
2022 Q3	Oakland, CA	14%	909	-26%
2022 Q3	Orlando, FL	29%	3,231	-21%
2022 Q3	Philadelphia, PA	17%	1,247	+43%
