tract_geoid,total_jobs,resident_workers,pressure_ratio
12009062800,4750,1629,2.9158993247391036
12009062900,899,2830,0.3176678445229682
12009063000,152,2078,0.07314725697786333
12009063102,3196,3649,0.8758563990134284
12009063104,3066,1734,1.768166089965398
12009063105,8409,4166,2.0184829572731635
12009063106,859,1818,0.4724972497249725
12009063108,758,2065,0.3670702179176755
12009063109,3143,1986,1.5825780463242698
12009064102,1333,2736,0.4872076023391813
12009064123,1320,3018,0.43737574552683894
12009064124,415,2179,0.19045433685176685
12009064126,691,2036,0.3393909626719057
12009064127,5425,3373,1.6083605099318115
12009064128,2252,4685,0.48068303094983994
12009064129,840,920,0.9130434782608695
12009064130,1647,1666,0.9885954381752701
12009064201,3146,1057,2.976348155156102
12009064202,2205,1195,1.8451882845188285
12009064301,1748,2691,0.6495726495726496
12009064302,1029,2858,0.36004198740377885
12009064400,364,2383,0.1527486361728913
12009064500,1688,2135,0.790632318501171
12009064601,6163,3092,1.993208279430789
12009064602,10780,1197,9.005847953216374
12009064701,3508,1346,2.6062407132243686
12009064702,16349,551,29.671506352087114
12009064800,4547,1360,3.3433823529411764
12009064901,2853,2889,0.9875389408099688
12009064902,3008,1560,1.9282051282051282
12009065001,1141,1734,0.6580161476355249
12009065022,1138,2274,0.5004397537379067
12009065023,1257,2133,0.5893108298171589
12009065024,300,2998,0.1000667111407605
12009065025,1358,1015,1.3379310344827586
12009065123,6887,1596,4.315162907268171
12009065124,853,1206,0.7072968490878938
12009065126,101,1430,0.07062937062937064
12009065127,1003,1488,0.6740591397849462
12009065128,491,1549,0.31697869593285993
12009065129,1631,1910,0.8539267015706806
12009065130,393,1481,0.26536124240378123
12009065131,998,1662,0.6004813477737665
12009065201,476,2571,0.18514196810579542
12009065202,1453,2395,0.6066805845511483
12009065231,2101,3002,0.6998667554963358
12009065236,185,884,0.20927601809954752
12009065237,60,923,0.06500541711809317
12009065238,779,194,4.015463917525773
12009065239,208,1134,0.18342151675485008
